drug_name,recall_initiation_date,reason_for_recall,status,recalled
tolvaptan active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
cetirizine hydrochloride chewable tablets,20140409,Failed Impurities/Degradation Specifications: out of specification results for impurities/degradation testing for N-Oxide,Terminated,1
lidocaine hcl active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
perphenazine,20130702,"Labeling: Label Mixup: PERPHENAZINE, Tablet, 8 mg may have potentially been mislabeled as the following drug:  NIFEdipine, Capsule, 10 mg, NDC 59762100401, Pedigree: AD52778_55, EXP: 5/20/2014.",Terminated,1
phentermine 15mg grey,20200727,CGMP Deviations: Light sensitive drug products repackaged in transparent/partially transparent pouches.,Terminated,1
trimix,20161117,Lack of Assurance of Sterility,Ongoing,1
alprostadil,20200115,Lack of Assurance of Sterility,Terminated,1
leucovorin calcium injection usp,20120705,Presence of Particulate Matter: visible crystalline particulates and the discovery of crystalline particulate in a retain sample.,Terminated,1
diclofenac sodium topical solution 1,20211207,Defective Container: Leaking containers.,Terminated,1
bupropion hcl extended-release tablets,20140714,Failed Impurities/Degradation Products: Out of specification levels of the impurity m-chlorobenzoic acid were observed.,Terminated,1
nifedipine capsule,20130702,"Labeling: Label Mixup; NIFEDIPINE Capsule, 10 mg may be potentially mislabeled as     MULTIVITAMIN/MULTIMINERAL W/FLUORIDE, Chew Tablet, 1 mg (F), NDC 64376081501, Pedigree: AD22609_7, EXP: 5/2/2014;  NIFEDIPINE, Capsule, 10 mg, NDC 43386044024, Pedigree: AD23082_7, EXP: 9/23/2013.",Terminated,1
nature mint anticavity fluoride toothpaste,20250424,CGMP Deviations,Ongoing,1
betimol,20240305,Lack of Assurance of Sterility: Out of specification for volume and compromised container closure.,Completed,1
minivelle,20180907,"Defective Delivery System: out of specification results for shear, an attribute related to the adhesive properties of the transdermal patches.",Terminated,1
