drug_name,serious,seriousnessdeath,num_reactions
flixotide,1,0,1.0
flodil lp,1,0,1.0
flomax                             /00889901/,2,0,1.0
florinef acetate,1,0,1.0
flovent,8,0,5.0
fluconazole,1,0,14.0
fludarabine,1,1,15.0
fluimucil,1,0,2.0
fluorouracil,3,3,5.0
fluoxetine,2,1,10.0
flupentixol,1,0,12.0
fluticasone,2,0,3.0
fluvoxamine maleate,1,0,2.0
folic acid,11,0,4.2
folinate de calcium winthrop,1,0,5.0
folinic acid,2,0,3.0
foltx,1,0,4.0
"forane (isoflurane, usp)",2,0,1.0
formula 405,1,0,3.0
forteo,3,0,1.5
fosamax,5,1,6.75
fosamax plus d,1,0,10.0
furosemide,5,0,2.0
furosemide.,10,0,5.25
gabapentin,12,0,3.2857142857142856
gabapentin.,2,0,2.0
gadolinium (unspecified),4,0,1.0
gamunex c,1,0,6.0
gardenale,1,0,2.0
garlic,2,0,11.0
gastrointestinal preparations (unspecified),1,0,10.0
gemcitabine,3,0,1.0
gentamicin sulfate,2,0,1.0
geodon,2,0,1.0
gianvi,1,0,2.0
gilenya,14,3,3.923076923076923
gleevec,4,2,5.5
glimepiride,3,0,2.0
glipizide,6,0,2.0
glivec,11,9,2.3636363636363638
glucophage,1,0,16.0
glucosamine chondroitin            /01625901/,2,0,4.0
glyburide,1,0,3.0
granulocyte macrophage colony stim factor,1,0,1.0
guanfacine,2,0,2.0
habitrol 21 mg,1,0,3.0
haldol,3,0,4.0
harnal d (tamsulosin hydrochloride),1,0,1.0
hct,1,0,1.0
headache powder,2,0,10.0
heart medication,1,0,3.0
heminevrin,1,0,19.0
hepatamine 8%,2,0,3.0
herceptin,1,0,1.0
holoxan,13,13,1.0769230769230769
hormones nos,2,0,1.0
humalog,4,0,7.0
human clottable protein/human thrombin,4,0,1.75
humira,33,3,2.96875
"humulin 30% regular, 70% nph",1,0,1.0
hydralazine,3,0,2.0
hydrea,2,0,2.0
hydrochlorothiazide,9,0,2.0
hydrochlorothiazide.,2,0,10.5
hydrocodone,6,0,7.0
hydrocodone bitartrate and acetaminophen,2,0,3.0
hydrocodone/apap,2,0,1.0
hydrocortisone.,1,0,1.0
hydroxychloroquine,1,0,4.0
hydroxyurea,8,0,5.25
hyoscine hydrobromide,1,0,5.0
hyperium,1,0,2.0
hypertonic saline solution,1,0,3.0
ibrutinib,2,0,1.0
ibrutinub,1,0,2.0
ibuprofen,8,0,4.571428571428571
ibuprophen,2,0,3.0
ideos,1,0,7.0
idroclorotiaz,2,0,13.0
ilaris,2,0,2.0
ima901,1,0,1.0
imatinib,1,0,4.0
imbruvica,2,0,1.0
imipramine,2,0,4.0
immunoglobulins,1,1,5.0
imodium,1,0,2.0
imovane,1,0,19.0
implanon,1,0,5.0
impril,2,0,1.0
imuran,1,0,4.0
incivek,4,0,3.0
indapamide,1,0,1.0
inderal,2,0,9.0
inegy,1,0,1.0
inexium//esomeprazole magnesium,1,0,2.0
influenza virus,1,0,1.0
inotyol,1,0,7.0
insulin,1,0,3.0
insulina glargine,1,0,13.0
insulina glulisina,1,0,13.0
interferon (unspecified),2,0,1.0
interferon beta-1a,1,0,10.0
intravenous immunoglobulin,1,1,1.0
invega,3,0,10.0
iodine,2,0,1.0
ipramol,1,0,1.0
ipratropium,1,0,14.0
ipratropium  inhaler                    /00391402/,2,0,2.0
ipratropium bromide.,2,0,2.0
irbesartan.,2,0,13.0
irinotecan,1,1,1.0
irinotecan (unknown),1,0,3.0
iron,4,0,1.6666666666666667
iron dextran,1,0,1.0
isosorbide,1,0,3.0
istodax,1,0,1.0
itrizole,1,0,2.0
izotonik sodyum klor?r pvc,1,0,2.0
jakafi,310,4,3.664804469273743
janumet,2,2,7.5
januvia,9,2,4.285714285714286
jodthyrox,2,0,2.0
jzoloft,1,0,1.0
k phosphate,2,0,3.0
kaletra,2,0,4.5
kalydeco,1,0,4.0
kardegic,1,0,2.0
kaskadil,1,0,1.0
kcl,2,0,11.0
keppra,13,0,2.375
keri original,4,0,3.0
ketamine,1,1,5.0
ketoprofen,2,0,9.0
klacid,2,0,2.0
klonopin,8,0,6.25
klor-con,4,0,4.333333333333333
kynamro,2,0,7.0
l-thyroxin,1,0,2.0
labetalol,2,0,2.0
lactulose.,1,0,1.0
lamictal,7,1,6.4
lamotrigine,3,0,10.666666666666666
lanoxin,1,0,6.0
lansoprazole,4,0,4.75
lansoprazolo,1,0,13.0
lantus,8,0,4.6
lantus solostar,2,0,1.0
largactil,1,0,2.0
lasilix,2,0,3.0
lasilix faible,1,0,1.0
lasix,11,0,3.0
lasix                              /00032601/,3,0,5.5
latuda,8,0,1.0
latunda,2,0,1.0
lcl161,1,0,1.0
leflunomid,1,0,1.0
letairis,607,1,2.0126582278481013
leucovorin,1,0,2.0
leuprorelin,1,0,2.0
levemir,2,0,1.0
levetiracetam,1,0,12.0
levothroid,2,0,3.0
levothyrox 125 mcg,1,0,1.0
levothyroxine,13,0,2.111111111111111
levothyroxine sodium,2,0,2.0
levothyroxine.,1,0,15.0
lexapro,16,0,3.3333333333333335
lexapro film-coated tablets,2,0,4.0
lexomil,2,0,2.5
limarmone,1,0,4.0
lipitor,49,0,1.7173913043478262
lisinopril,18,0,4.083333333333333
lisinopril hctz,2,0,11.0
lisinopril.,3,0,1.6666666666666667
lisinopril/hydrochlorothiazide,2,0,3.0
lithionit,1,0,19.0
lithium,11,0,7.142857142857143
lithium aspartate,2,0,1.0
lo loestrin fe,1,0,4.0
lomotil                            /00034001/,2,0,1.0
lomotil (loperamide hydrochloride),2,0,2.0
loratadine,3,0,1.5
loraza,2,0,1.0
lorazepam,11,0,5.555555555555555
lorazepam.,3,0,3.0
lortab,3,0,1.5
losartan,7,0,2.0
losartan + hidroclorotiazida,2,0,2.0
losartan potassium,4,0,1.0
losartan.,4,0,2.0
lovastatin,2,0,3.0
lovenox,3,0,8.0
low estrogen birth control,1,0,13.0
lucrin,1,0,1.0
