drug_name,boxed_warning,contraindications_len,indications_len,manufacturer
ketorolac tromethamine,1,274,242,"Asclemed USA, Inc."
,1,31,19,Unknown
,0,0,28,Unknown
,0,0,26,Unknown
,0,0,22,Unknown
,0,0,17,Unknown
"baptisia tinctoria, echinacea (angustifolia), adrenalinum, allium cepa, ambrosia artemisiaefolia, arsenicum album, euphrasia officinalis, histaminum hydrochloricum, natrum muriaticum, natrum sulphuricum, nux vomica, phosphorus, pulsatilla (pratensis), sabadilla, sinapis nigra, solidago virgaurea, sulphur, wyethia helenioides",0,0,23,"Energique, Inc."
,1,45,484,Unknown
,0,0,15,Unknown
,1,140,63,Unknown
,0,0,14,Unknown
dimethicone,0,0,26,Rejoice International
,0,0,0,Unknown
,0,0,14,Unknown
,0,9,65,Unknown
teens strawberry sparkle 48h antiperspirant,0,0,5,"Conopco, Inc. d/b/a Unilever"
advanced coconut water and lime dry spray 72h antiperspirant deodorant,0,0,5,"Conopco, Inc. d/b/a Unilever"
"burn ease, 3.5g",0,0,14,ProStat First Aid LLC
,0,0,31,Unknown
dipyridamole,0,10,24,Zydus Pharmaceuticals USA Inc.
naproxen,1,126,53,TruPharma LLC
,1,67,101,Unknown
alcohol,0,0,14,"Degasa, S.A. de C.V."
,0,0,28,Unknown
,0,0,26,Unknown
,0,62,130,Unknown
"ps-3885 burn ease, 3.5g",0,0,15,ProStat First Aid LLC
,1,67,39,Unknown
"ps-3866 burn ease, 0.9g",0,0,15,ProStat First Aid LLC
"dextromethorphan hbr, guaifenesin",0,0,30,Efficient Laboratories Inc
castor oil,0,0,18,"Strategic Sourcing Services, LLC"
,0,0,16,Unknown
,0,30,85,Unknown
loratadine,0,0,30,Rite Aid Corporation
tramadol hydrochloride,1,197,248,"Sun Pharmaceutical Industries, Inc."
"avobenzone, octisalate, octocrylene, homosalate",0,0,9,"Supergoop, LLC"
,0,0,24,Unknown
lorlatinib,0,34,71,U.S. Pharmaceuticals
,0,41,333,Unknown
,0,0,26,Unknown
,0,0,7,Unknown
allopurinol,1,38,240,Bryant Ranch Prepack
,0,19,163,Unknown
,0,0,17,Unknown
"glycerin 14.4%, lidocaine 5%, petrolatum 15%, phenylephrine hcl 0.25%",0,0,47,"Derma Care Research Labs, LLC"
simethicone,0,0,13,Walgreens
lidocaine hydrochloride,1,26,39,"NuCare Pharmaceuticals,Inc."
aluminium sulphuricum,0,0,0,"Hahnemann Laboratories, INC."
"ps - 2895 triple antibiotic , 0.5g",0,0,13,Prostat First Aid LLC
,0,0,71,Unknown
,0,0,0,Unknown
amanita pantherina,0,0,0,"Hahnemann Laboratories, INC."
,0,0,4,Unknown
clotrimazole,0,0,26,Preferred Pharmaceuticals Inc.
diclofenac sodium,0,0,53,"NuCare Pharmaceuticals,Inc."
tocilizumab,1,27,283,Biogen MA Inc.
,0,0,29,Unknown
